name,duration,duration_stdev,duration_median,duration_min,duration_max,memory,memory_stdev,memory_median,memory_min,memory_max,num_warnings,num_warnings_stdev,num_warnings_median,num_warnings_min,num_warnings_max,num_locks_mean,num_locks_stdev,num_locks_median,num_locks_max,num_locks_min,num_accesses_mean,num_accesses_stdev,num_accesses_median,num_accesses_max,num_accesses_min,num_atomic_stores_mean,num_atomic_stores_stdev,num_atomic_stores_median,num_atomic_stores_max,num_atomic_stores_min,uclock_acquires_rate,uclock_acquires_rate_stdev,uclock_acquires_rate_median,uclock_acquires_rate_min,uclock_acquires_rate_max,uclock_releases_rate,uclock_releases_rate_stdev,uclock_releases_rate_median,uclock_releases_rate_min,uclock_releases_rate_max,uclock_incs_rate,uclock_incs_rate_stdev,uclock_incs_rate_median,uclock_incs_rate_min,uclock_incs_rate_max,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
DRB188,40,0.0,40,40,40,27268,917.9891066891807,26740,26736,28328,0,0.0,0,0,0,7216,0.0,7216,7216,7216,1013,1.7320508075688772,1012,1012,1015,0,0.0,0,0,0,0.4986710848779814,0.0010163564850599214,0.49808429118773945,0.49808429118773945,0.49984467225846535,0.7505967825635703,0.0,0.7505967825635703,0.7505967825635703,0.7505967825635703,1.2492648330738627,0.0010186771744912398,1.2486766995329528,1.2486766995329528,1.2504411001556823,0,0.0,0,0.0,0,0.0,96181911.33333333,930204.6696815348,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB189,30,0.0,30,30,30,26848,1569.6776739190757,26724,25344,28476,0,0.0,0,0,0,108,0.0,108,108,108,28,0.0,28,28,28,0,0.0,0,0,0,0.42702702702702705,0.005405405405405406,0.42702702702702705,0.42162162162162165,0.43243243243243246,0.7852760736196319,0.0,0.7852760736196319,0.7852760736196319,0.7852760736196319,1.2024539877300613,0.006134969325153339,1.2024539877300613,1.196319018404908,1.2085889570552146,0,0.0,0,0.0,0,0.0,48900767.666666664,27529.88197092994,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB190,40,0.0,40,40,40,28905.333333333332,1422.8834573967515,28340,27852,30524,0,0.0,0,0,0,6004,0.0,6004,6004,6004,7019,0.0,7019,7019,7019,0,0.0,0,0,0,0.49720323182100684,0.0,0.49720323182100684,0.49720323182100684,0.49720323182100684,0.7505923431849357,0.0,0.7505923431849357,0.7505923431849357,0.7505923431849357,1.248410026187804,0.0,1.248410026187804,1.248410026187804,1.248410026187804,0,0.0,0,0.0,0,0.0,97061431,9447.801807828104,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB191,60000,0.0,60000.0,60000,60000,28640,0.0,28640.0,28640,28640,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,109679536,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB192,23.333333333333332,5.773502691896257,20,20,30,26762.666666666668,1529.006649211616,26652,25292,28344,0,0.0,0,0,0,9,0.0,9,9,9,24,0.0,24,24,24,0,0.0,0,0,0,0.07547169811320754,0.0,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.9259259259259259,0.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.7777777777777778,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0,0.0,0,0.0,0,0.0,48101007,87226.95110457548,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB193,30,0.0,30,30,30,29258.666666666668,939.0576837092242,29748,28176,29852,0,0.0,0,0,0,9,0.0,9,9,9,24,0.0,24,24,24,0,0.0,0,0,0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.9259259259259259,0.0,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.7407407407407407,0.0,0.7407407407407407,0.7407407407407407,0.7407407407407407,0,0.0,0,0.0,0,0.0,48153040.333333336,18254.84333905206,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB194,93.33333333333333,25.16611478423583,90,70,120,45662.666666666664,2159.4678356792756,45840,43420,47728,0,0.0,0,0,0,252.66666666666666,1.1547005383792515,252,252,254,4656,0.0,4656,4656,4656,0,0.0,0,0,0,0.691500000807294,0.00021757148642022304,0.6916256157635468,0.6912487708947886,0.6916256157635468,1.0,0.0,1.0,1.0,1.0,1.608207847825303,0.00012010348619743133,1.6082771896053898,1.6080691642651297,1.6082771896053898,0,0.0,0,0.0,0,0.0,2317370914.3333335,1235091864.1012454,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB195,106.66666666666667,47.258156262526086,90,70,160,48733.333333333336,524.3255985867306,48892,48148,49160,0,0.0,0,0,0,252.66666666666666,1.1547005383792515,252,252,254,4468,0.0,4468,4468,4468,0,0.0,0,0,0,0.691500000807294,0.00021757148642022304,0.6916256157635468,0.6912487708947886,0.6916256157635468,1.0,0.0,1.0,1.0,1.0,1.608207847825303,0.00012010348619743133,1.6082771896053898,1.6080691642651297,1.6082771896053898,0,0.0,0,0.0,0,0.0,3534428928,2606443864.631335,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB196,153.33333333333334,20.81665999466133,160,130,170,47453.333333333336,1180.0090395133986,47244,46392,48724,0,0.0,0,0,0,254,0.0,254,254,254,53256,0.0,53256,53256,53256,0,0.0,0,0,0,0.9289923817737531,0.0,0.9289923817737531,0.9289923817737531,0.9289923817737531,1.0,0.0,1.0,1.0,1.0,1.9277318241184154,0.0,1.9277318241184154,1.9277318241184154,1.9277318241184154,0,0.0,0,0.0,0,0.0,3849924490,1933545070.061292,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB197,170,10.0,170,160,180,48144,3734.352956001883,49212,43992,51228,0,0.0,0,0,0,254,0.0,254,254,254,52956,0.0,52956,52956,52956,0,0.0,0,0,0,0.9289923817737531,0.0,0.9289923817737531,0.9289923817737531,0.9289923817737531,1.0,0.0,1.0,1.0,1.0,1.9277318241184154,0.0,1.9277318241184154,1.9277318241184154,1.9277318241184154,0,0.0,0,0.0,0,0.0,4599639999,1790847428.891533,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB198,60000,0.0,60000.0,60000,60000,29604,0.0,29604.0,29604,29604,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,731309260247,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB199,60010,0.0,60010.0,60010,60010,29844,0.0,29844.0,29844,29844,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,636324737526,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB200,30,0.0,30,30,30,27920,268.71546289709494,27964,27632,28164,0,0.0,0,0,0,9,0.0,9,9,9,10,0.0,10,10,10,0,0.0,0,0,0,0.0935672514619883,0.010128952091046065,0.08771929824561403,0.08771929824561403,0.10526315789473684,0.9354838709677419,0.0,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.7526881720430108,0.018624202231923393,0.7419354838709677,0.7419354838709677,0.7741935483870968,0,0.0,0,0.0,0,0.0,48189037,26262.500337934314,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB201,30,0.0,30,30,30,27184,486.2756419974169,27352,26636,27564,0,0.0,0,0,0,9,0.0,9,9,9,10,0.0,10,10,10,0,0.0,0,0,0,0.09941520467836257,0.010128952091046065,0.10526315789473684,0.08771929824561403,0.10526315789473684,0.9354838709677419,0.0,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.7634408602150538,0.018624202231923393,0.7741935483870968,0.7419354838709677,0.7741935483870968,0,0.0,0,0.0,0,0.0,48240366.666666664,49452.20011620649,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB202,83.33333333333333,20.816659994661325,90,60,100,47294.666666666664,2614.765253963218,46140,45456,50288,0,0.0,0,0,0,253.33333333333334,1.1547005383792515,254,252,254,603.3333333333334,37.819747927945436,582,581,647,0,0.0,0,0,0,0.29992007472171217,0.0005479029188246262,0.30023640661938533,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.1244493392070485,0.0009537724711281957,1.125,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1536015973,1145827545.355481,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB203,80,10.0,80,70,90,47945.333333333336,2530.253215259954,47904,45436,50496,0,0.0,0,0,0,253.33333333333334,1.1547005383792515,254,252,254,582,0.0,582,582,582,0,0.0,0,0,0,0.29992007472171217,0.0005479029188246262,0.30023640661938533,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.1244493392070485,0.0009537724711281957,1.125,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,2078231950.6666667,656305977.4540052,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB204,73.33333333333333,5.773502691896257,70,70,80,48978.666666666664,687.7247511420054,48688,48484,49764,0,0.0,0,0,0,253.33333333333334,1.1547005383792515,254,252,254,580,0.0,580,580,580,0,0.0,0,0,0,0.29992007472171217,0.0005479029188246262,0.30023640661938533,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.1244493392070485,0.0009537724711281957,1.125,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1493493950.6666667,635628483.1021918,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB205,83.33333333333333,11.547005383792516,90,70,90,49890.666666666664,1393.0130413364166,49952,48468,51252,0,0.0,0,0,0,252.66666666666666,1.1547005383792515,252,252,254,20580,0.0,20580,20580,20580,0,0.0,0,0,0,0.29960374282403895,0.0005479029188246262,0.2992874109263658,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.123898678414097,0.0009537724711281957,1.1233480176211454,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1959613333,742881082.0607053,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB206,100,26.457513110645905,110,70,120,49730.666666666664,921.7837779725425,49576,48896,50720,0,0.0,0,0,0,252.66666666666666,1.1547005383792515,252,252,254,20580,0.0,20580,20580,20580,0,0.0,0,0,0,0.29960374282403895,0.0005479029188246262,0.2992874109263658,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.123898678414097,0.0009537724711281957,1.1233480176211454,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,2146093430,715397338.7915568,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB207,76.66666666666667,5.773502691896257,80,70,80,49129.333333333336,1346.749172390068,48496,48216,50676,0,0.0,0,0,0,252.66666666666666,1.1547005383792515,252,252,254,580,0.0,580,580,580,0,0.0,0,0,0,0.29960374282403895,0.0005479029188246262,0.2992874109263658,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.123898678414097,0.0009537724711281957,1.1233480176211454,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1787211223,320519881.4073175,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB208,100,17.320508075688775,90,90,120,49221.333333333336,860.5145747361479,49636,48232,49796,0,0.0,0,0,0,252.66666666666666,1.1547005383792515,252,252,254,580,0.0,580,580,580,0,0.0,0,0,0,0.29960374282403895,0.0005479029188246262,0.2992874109263658,0.2992874109263658,0.30023640661938533,1.0,0.0,1.0,1.0,1.0,1.123898678414097,0.0009537724711281957,1.1233480176211454,1.1233480176211454,1.125,0,0.0,0,0.0,0,0.0,1798250931.3333333,604349984.6865408,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_001,20,0.0,20,20,20,26369.333333333332,426.4332694963344,26540,25884,26684,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,37930768.333333336,3434.2848357894445,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_002,1363.3333333333333,5.773502691896257,1360,1360,1370,241717.33333333334,168.0158722660848,241720,241548,241884,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,11005724219.333334,4256.603849706164,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_003,100,10.0,100,90,110,49528,3764.3315475659156,50376,45412,52796,0,0.0,0,0,0,254,0.0,254,254,254,42819.666666666664,4908.441741870156,40956,39116,48387,0,0.0,0,0,0,0.2981220657276995,0.0,0.2981220657276995,0.2981220657276995,0.2981220657276995,1.0,0.0,1.0,1.0,1.0,1.1244541484716157,0.0,1.1244541484716157,1.1244541484716157,1.1244541484716157,0,0.0,0,0.0,0,0.0,1402472845.6666667,320041201.6788086,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_004,96.66666666666667,35.11884584284246,100,60,130,47002.666666666664,2001.1210191623427,46180,45544,49284,0,0.0,0,0,0,254,0.0,254,254,254,47188,16903.431338044946,46934,30413,64217,0,0.0,0,0,0,0.2981220657276995,0.0,0.2981220657276995,0.2981220657276995,0.2981220657276995,1.0,0.0,1.0,1.0,1.0,1.1244541484716157,0.0,1.1244541484716157,1.1244541484716157,1.1244541484716157,0,0.0,0,0.0,0,0.0,1667352198.3333333,720646669.0728687,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_005,40,0.0,40,40,40,46092,1394.8648680069334,45368,45208,47700,0,0.0,0,0,0,443,0.0,443,443,443,197,0.0,197,197,197,0,0.0,0,0,0,0.45901639344262296,0.0,0.45901639344262296,0.45901639344262296,0.45901639344262296,1.0,0.0,1.0,1.0,1.0,1.3127147766323024,0.0,1.3127147766323024,1.3127147766323024,1.3127147766323024,0,0.0,0,0.0,0,0.0,64908591.666666664,19984.392268301115,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_006,160,30.0,160,130,190,77754.66666666667,1792.2514704508778,77720,75980,79564,0,0.0,0,0,0,254,0.0,254,254,254,5220162,581231.7730097005,5175736,4662418,5822332,0,0.0,0,0,0,0.2981220657276995,0.0,0.2981220657276995,0.2981220657276995,0.2981220657276995,1.0,0.0,1.0,1.0,1.0,1.1244541484716157,0.0,1.1244541484716157,1.1244541484716157,1.1244541484716157,0,0.0,0,0.0,0,0.0,3835116040.6666665,538533020.185708,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_007,73.33333333333333,5.773502691896257,70,70,80,45197.333333333336,3995.295900597768,47488,40584,47520,0,0.0,0,0,0,443,0.0,443,443,443,324,0.0,324,324,324,0,0.0,0,0,0,0.45901639344262296,0.0,0.45901639344262296,0.45901639344262296,0.45901639344262296,1.0,0.0,1.0,1.0,1.0,1.3127147766323024,0.0,1.3127147766323024,1.3127147766323024,1.3127147766323024,0,0.0,0,0.0,0,0.0,369772091,44077.713733813376,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_008,153.33333333333334,15.275252316519467,150,140,170,82665.33333333333,7115.225740152826,82204,75792,90000,0,0.0,0,0,0,254,0.0,254,254,254,5087097.333333333,478533.3336658308,5111564,4596800,5552928,0,0.0,0,0,0,0.2981220657276995,0.0,0.2981220657276995,0.2981220657276995,0.2981220657276995,1.0,0.0,1.0,1.0,1.0,1.1244541484716157,0.0,1.1244541484716157,1.1244541484716157,1.1244541484716157,0,0.0,0,0.0,0,0.0,3701486168.6666665,1330220331.939069,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_009,1523.3333333333333,80.82903768654761,1510,1450,1610,95222.66666666667,1580.502873560606,95120,93696,96852,0,0.0,0,0,0,600320,0.0,600320,600320,600320,300518.3333333333,0.5773502691896257,300518,300518,300519,0,0.0,0,0,0,0.6135933465014036,0.012578455081237621,0.6190304852071598,0.5992109152558466,0.6225386390412045,0.7501430431078208,0.0,0.7501430431078208,0.7501430431078208,0.7501430431078208,1.3636205772195418,0.01257787366055348,1.3690574646015157,1.349238810780828,1.372565456276282,0,0.0,0,0.0,0,0.0,112793859957.66667,20440355436.264767,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_010,1463.3333333333333,20.81665999466133,1470,1440,1480,94580,1880.204244224547,94156,92948,96636,0,0.0,0,0,0,600320,0.0,600320,600320,600320,300518,0.0,300518,300518,300518,0,0.0,0,0,0,0.6138003209144521,0.008585217940065467,0.6175737518131084,0.6039746583360507,0.6198525525941974,0.7501430431078208,0.0,0.7501430431078208,0.7501430431078208,0.7501430431078208,1.3638275420655008,0.008584821100926239,1.3676007985428342,1.3540023336639773,1.369879493989691,0,0.0,0,0.0,0,0.0,107326621544.33333,11793164971.26808,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRACC_OMP_011,170,17.320508075688775,160,160,190,44401.333333333336,870.4236516394377,44628,43440,45136,0,0.0,0,0,0,600795,0.0,600795,600795,600795,300197,0.0,300197,300197,300197,0,0.0,0,0,0,0.00031478594555702123,0.0,0.00031478594555702123,0.00031478594555702123,0.00031478594555702123,0.750181742782126,0.0,0.750181742782126,0.750181742782126,0.750181742782126,0.7504090773961942,0.0,0.7504090773961942,0.7504090773961942,0.7504090773961942,0,0.0,0,0.0,0,0.0,1581884118.6666667,107779.54852537347,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
