name,duration,duration_stdev,duration_median,num_warnings,num_warnings_stdev,num_warnings_median,context_switches,context_switches_stdev,migrations,migrations_stdev,page_faults,page_faults_stdev,instructions,instructions_stdev,branches,branches_stdev,branch_misses,branch_misses_stdev,branch_miss_rate,branch_miss_rate_stdev,l1_loads,l1_loads_stdev,l1_load_misses,l1_load_misses_stdev,l1_miss_rate,l1_miss_rate_stdev,llc_loads,llc_loads_stdev,llc_load_misses,llc_load_misses_stdev,llc_miss_rate,llc_miss_rate_stdev
DRB032,102.88,23.909386765665992,101.5,0.26,0.44308749769345207,0.0,0,0.0,0,0.0,0,0.0,2131396781.88,982463300.3331423,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB033,111.2,30.278300979481685,101.5,0.56,0.8121525944886797,0.0,0,0.0,0,0.0,0,0.0,2287132487.86,1117284791.0582073,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB034,115.08,32.2255064398703,103.0,0.56,0.6439672954048369,0.0,0,0.0,0,0.0,0,0.0,2663123367.42,1627326102.5975776,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB035,133.76,31.519064525639536,128.5,1.16,0.3703280399090206,1.0,0,0.0,0,0.0,0,0.0,3308428579.54,972257208.0639188,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB036,135.48,25.181982545025306,134.5,1.32,0.4712120714991612,1.0,0,0.0,0,0.0,0,0.0,3463166996.12,983753174.0221375,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB037,438.5,42.872497249497414,439.5,2,0.0,2.0,0,0.0,0,0.0,0,0.0,17242227143.88,2674118329.678765,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB038,455.56,57.6095797022456,441.0,2,0.0,2.0,0,0.0,0,0.0,0,0.0,17102530782.48,3063348742.0866976,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB039,98.3,10.616217859136702,99.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,1763775263.5,321242568.49333733,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB040,98.82,14.115688189430387,100.5,0.04,0.1979486637221574,0.0,0,0.0,0,0.0,0,0.0,1750365928.6,567224360.2264059,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB041,206.98,18.079743993130624,205.5,30.4,1.8626292586293283,30.0,0,0.0,0,0.0,0,0.0,4477141375.7,1092934362.8411891,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
DRB042,977.92,31.36086212892413,978.5,57.28,2.2409910344145803,57.0,0,0.0,0,0.0,0,0.0,24045318105.24,3929925364.5105762,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0,1,0.0,1,0.0,1.0,0.0
